Förbered,10
Höftböj h+v,120
Vila,10
World's Gr. Str. h+v,60
Vila,10
Nervglid & Hamstr.,60
Vila,10
Bröstryggsrot. (Open Books),40
Vila,10
Cossack squats,60
Vila,10
90/90 hip Stretches,60
Vila,10
Ankle mobilitet,60
Vila,10
Asian squat,60
Vila,20
9090-ben on floor,300
